,fpx,fpy,fpz,fvx,fvy,fvz
243.0,395.2794,7139.241,9.240158e-05,0.41951,0.1442388,8.8258e-08
244.0,381.5082,7173.255,9.214027e-05,0.4190265,0.1442303,8.850627e-08
245.0,374.2702,7190.448,9.164163e-05,0.4188883,0.1445381,8.913434e-08
246.0,376.5131,7180.469,9.089692e-05,0.4192061,0.1451732,9.01504e-08
247.0,382.5092,7164.97,8.992593e-05,0.4196762,0.1457653,9.08194e-08
248.0,387.6934,7167.863,8.886021e-05,0.4202225,0.1462125,9.106996e-08
249.0,399.1658,7159.704,8.772182e-05,0.4212941,0.1469515,9.191526e-08
250.0,409.4306,7158.009,8.657226e-05,0.4220656,0.1474761,9.215745e-08
251.0,423.8007,7159.522,8.539294e-05,0.4233354,0.1482374,9.290745e-08
252.0,437.9712,7153.002,8.434862e-05,0.4242429,0.1487242,9.308211e-08
253.0,457.6132,7129.606,8.346739e-05,0.425412,0.1493252,9.366091e-08
254.0,475.4364,7109.768,8.270584e-05,0.4263596,0.1497755,9.38089e-08
255.0,493.4808,7086.358,8.217484e-05,0.4272515,0.1500983,9.391559e-08
256.0,510.4711,7061.689,8.185645e-05,0.4280217,0.1503345,9.394873e-08
257.0,526.5737,7033.475,8.176683e-05,0.4286681,0.1504787,9.393353e-08
258.0,544.3387,6981.752,8.194124e-05,0.4291244,0.1504705,9.394951e-08
259.0,555.3732,6957.285,8.229005e-05,0.429432,0.1503676,9.356028e-08
260.0,571.2647,6885.917,8.29504e-05,0.429511,0.1502143,9.357498e-08
261.0,577.5448,6866.177,8.361103e-05,0.4296238,0.150077,9.314313e-08
262.0,585.7655,6810.056,8.450818e-05,0.4293261,0.1497235,9.292343e-08
263.0,587.1167,6796.567,8.535009e-05,0.4292793,0.14952,9.258928e-08
264.0,583.5308,6792.178,8.621068e-05,0.428885,0.1492264,9.214184e-08
265.0,580.6708,6780.158,8.710662e-05,0.4285542,0.1489096,9.198257e-08
266.0,573.8151,6777.113,8.797696e-05,0.4280122,0.148494,9.154869e-08
267.0,564.7331,6780.847,8.882755e-05,0.4274261,0.1480882,9.118117e-08
268.0,553.59,6788.219,8.965139e-05,0.4267224,0.1476744,9.07962e-08
269.0,541.6116,6802.212,9.032842e-05,0.4261345,0.1474128,9.064174e-08
270.0,523.278,6845.783,9.08757e-05,0.4253571,0.1470086,9.006603e-08
271.0,507.8905,6874.475,9.135107e-05,0.4247194,0.1466862,8.999608e-08
272.0,485.9864,6936.453,9.16696e-05,0.4239279,0.1462722,8.941791e-08
273.0,468.8383,6972.567,9.195753e-05,0.4232236,0.1459224,8.939422e-08
274.0,447.836,7031.417,9.20762e-05,0.4224511,0.1455891,8.900998e-08
275.0,430.7301,7076.441,9.20907e-05,0.4218445,0.1454207,8.909001e-08
276.0,418.1036,7106.385,9.191853e-05,0.4214022,0.1454387,8.938296e-08
277.0,410.8704,7120.935,9.155295e-05,0.4212014,0.1456297,8.984511e-08
278.0,411.5758,7112.413,9.097281e-05,0.421392,0.1461023,9.064531e-08
279.0,418.6813,7088.845,9.017157e-05,0.4218677,0.1467382,9.147879e-08
280.0,430.3155,7055.779,8.923179e-05,0.4225532,0.1473629,9.215427e-08
281.0,445.143,7019.78,8.82249e-05,0.4234372,0.1480138,9.272265e-08
282.0,458.855,6998.417,8.718578e-05,0.4243168,0.1485418,9.30219e-08
283.0,475.4563,6974.998,8.616262e-05,0.425389,0.1491724,9.358097e-08
284.0,491.9495,6954.55,8.520291e-05,0.426332,0.1496817,9.387617e-08
285.0,510.6897,6930.184,8.434128e-05,0.4274018,0.1502365,9.429861e-08
286.0,525.85,6920.39,8.358752e-05,0.4282583,0.1506377,9.43207e-08
287.0,539.2951,6917.696,8.303513e-05,0.4290341,0.1509219,9.431731e-08
288.0,551.2471,6916.443,8.26883e-05,0.4296949,0.1511183,9.429886e-08
289.0,562.7956,6909.187,8.256373e-05,0.4302485,0.1512395,9.428252e-08
290.0,572.6074,6899.863,8.263279e-05,0.4306245,0.1512141,9.416065e-08
291.0,580.1863,6890.617,8.294004e-05,0.4308655,0.1510891,9.390133e-08
292.0,588.0222,6864.503,8.346478e-05,0.4309211,0.150949,9.375112e-08
293.0,592.6569,6850.951,8.407476e-05,0.4309865,0.1508165,9.353951e-08
294.0,598.1521,6809.318,8.489347e-05,0.4306906,0.1504587,9.328132e-08
295.0,599.2384,6796.563,8.567834e-05,0.4306407,0.1502972,9.305695e-08
296.0,599.4591,6767.074,8.655029e-05,0.4301815,0.1499604,9.275549e-08
297.0,596.9227,6759.673,8.733651e-05,0.4300045,0.149788,9.259992e-08
298.0,591.0079,6753.723,8.8124e-05,0.4294667,0.1494321,9.218666e-08
299.0,584.8935,6754.84,8.883103e-05,0.4291805,0.1492342,9.210273e-08
300.0,574.7957,6766.583,8.94759e-05,0.4286319,0.1489111,9.169907e-08
301.0,565.544,6776.668,9.006554e-05,0.4282321,0.1486783,9.159877e-08
302.0,552.8673,6800.93,9.053115e-05,0.4276955,0.1484056,9.129279e-08
303.0,538.8319,6832.301,9.09346e-05,0.4271681,0.1480959,9.10259e-08
304.0,523.7438,6867.393,9.12623e-05,0.4265948,0.1477862,9.077848e-08
305.0,509.0072,6900.585,9.152057e-05,0.4260124,0.1474995,9.061226e-08
