,fpx,fpy,fpz,fvx,fvy,fvz
288.0,135.4414,1725.563,2.085182e-05,0.1596677,0.05564028,3.420284e-08
289.0,138.728,1723.602,2.07511e-05,0.1598925,0.05572901,3.421492e-08
290.0,141.7886,1721.112,2.070489e-05,0.1600721,0.05577151,3.420635e-08
291.0,144.2093,1719.333,2.070416e-05,0.1601725,0.05575633,3.415648e-08
292.0,146.1369,1717.34,2.076564e-05,0.1602165,0.05570444,3.407014e-08
293.0,147.8957,1712.827,2.087609e-05,0.1601936,0.05565007,3.401404e-08
294.0,149.0729,1710.154,2.101195e-05,0.1601685,0.05559386,3.395132e-08
295.0,150.2272,1702.178,2.119582e-05,0.160019,0.05545514,3.385005e-08
296.0,150.5364,1699.523,2.137945e-05,0.1599476,0.05537918,3.377351e-08
297.0,150.6588,1692.691,2.158701e-05,0.1597394,0.0552394,3.366337e-08
298.0,150.1851,1690.693,2.177665e-05,0.1596348,0.05516533,3.360665e-08
299.0,148.9658,1688.49,2.196944e-05,0.1594064,0.05502231,3.345814e-08
300.0,147.6455,1688.346,2.214303e-05,0.15928,0.0549421,3.341911e-08
301.0,145.4112,1690.312,2.230375e-05,0.1590657,0.05481555,3.327134e-08
302.0,143.3532,1692.022,2.245201e-05,0.1589161,0.05472423,3.322584e-08
303.0,140.4204,1697.285,2.257131e-05,0.1587256,0.05461965,3.310582e-08
304.0,137.1425,1704.276,2.267646e-05,0.1585465,0.05450606,3.30026e-08
305.0,133.7868,1710.958,2.2763e-05,0.1583548,0.05439316,3.292396e-08
306.0,129.7274,1721.436,2.283281e-05,0.1581594,0.05427527,3.278859e-08
307.0,126.4191,1728.807,2.288295e-05,0.1580129,0.05422186,3.279918e-08
308.0,123.6283,1734.029,2.290078e-05,0.1578768,0.0541887,3.281976e-08
309.0,121.4537,1737.7,2.288759e-05,0.1577913,0.05418526,3.286568e-08
310.0,120.1679,1739.187,2.283452e-05,0.1577755,0.0542444,3.297981e-08
311.0,120.1085,1737.636,2.273697e-05,0.157854,0.05437589,3.316872e-08
